code,instructor,schedule,description,credits,semesters,prerequisites,prerequisite_text
CLCV 3800,Scott Keister,"TuTh (1 hour 15 minutes), MW (1 hour 15 minutes)","Spring. Study in English of Greek and Roman myths; historical meanings and influence on life, literature and art. No Latin required.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ENG 1500,Kate Dailey,"(Class Length) 1 hour 15 minutes, 50 minutes","Theresa Williams, Kelsee Yockey, Shelley Beard, Fall, Spring. A general education course Matthew Rome, Ronald Werdebaugh, Julie Haught emphasizing discussion of humanistic themes based on student responses to readings in fiction, drama, poetry, and nonfiction.",3,Fall 2025|Spring 2025|Fall 2024|Fall 2023,writ1110,enrollment in or completion of WRIT 1110.
ENG 2010,Mariah Morales,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Alternate Fall. Survey of world arts and cultures, from Africa, Asia, Oceania, the Caribbean, and the Americas, including arts of various media and materials, and those created within selected religious practices and belief systems. Required for BA Art History majors.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ENG 2110,Jacqueline Justice,"TuTh (1 hour 15 minutes), MWF (50 minutes)",,3,African-American literature from the mid-eighteenth century to the present in its historical|political|and cultural context. Germane critical approaches to both literary modes and vernacular tradition. Approved for distance education. Applicable to the BG Perspective (general education) Humanities and Arts and Cultural Diversity in the United States requirements.,,
ENG 2120,Jolene Buehrer,"MW, TuTh","Native American literature from the oral to the written tradition in its historical and cultural context. Germane critical approaches to the tales, songs, myths, memoirs, poetry and fiction.",3,Fall 2024|Fall 2023|Fall 2022|Fall 2021|Spring 2021,,
ENG 2610,Erin Labbie,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Works in English and in translation of various world literatures from ancient times to 1700, including a balanced selection of texts from European and non-European cultures such as Greek, Celtic, Roman, Chinese, Indian, African, Japanese, Arabic, etc.",3,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,,
ENG 2620,Joseph Wagner,"MWF (50 minutes), MW (1 hour 15 minutes)","Fall, Spring, Summer. Works in English and in translation of various world literatures from 1700 to the present, including a balanced selection of texts from European and non-European cultures such as French, Russian, Spanish, Latin American, Chinese, Indian, African, Caribbean, Japanese, Arabic, etc.",3,Spring 2025|Spring 2024|Spring 2023|Spring 2022|Spring 2021,from1700,
ENG 2640,Erin Labbie,"MWF (12:30pm-1:20pm), MW (12:30pm-1:20pm), F (12:30pm-1:20pm)","Fall, Spring, Summer. Survey of British prose, poetry, and drama from Anglo-Saxon origins through the restoration of Charles II; emphasis on literary traditions and historical contexts.",3,Spring 2024|Spring 2023|Spring 2022|Spring 2021|Spring 2020,,
ENG 2650,Piya Lapinski,"(Class Length) 1 hour 15 minutes, 50 minutes","Survey of British prose, poetry, and drama from the Restoration period through the present. Students will examine literary texts in their historical and cultural contexts and study the relationship between different literary traditions.",3,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,se4550,
ENG 2740,Susan Cruea,"MWF (50 minutes), F (50 minutes)",American literature from its beginnings through the Civil War. May emphasize historical development and/or major themes.,3,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,,
ENG 2750,Bill Albertini,"(Class Length) 50 minutes, 1 hour 15 minutes",American literature from the end of the Civil War through the present. Students will examine literary texts in their historical and cultural contexts and the relationship between different literary movements.,3,Spring 2025|Spring 2024|Spring 2023|Spring 2022|Spring 2021,se4550,
ETHN 2200,Opportune Zongo,TBA,"Fall, Spring, Summer. Creative and critical writing in Q the English language by writers of African descent. Also writers from the Caribbean. Credit only allowed for only one of ETHN 2200 or ROCS 2200.",3,Spring 2025|Spring 2024|Spring 2023,ethn2200|rocs2200,
FILM 1610,Andrew Kurtz,"(Class Length) 1 hour 15 minutes, 3 hours","> Introduces students to the critical study of film as entertainment and art, as well as both a commercial and a cultural product. Provides students with an overview of the basic theories and methodologies used to study narrative, documentary and experimental films, and examines the medium of film within an aesthetic, social and industrial context. Using a combination of approaches to viewing, analyzing and writing about movies, this course also considers how films use various cinematic techniques to communicate meaning to viewers.",3,Fall 2025,,
FREN 2010,Jennifer Wolter,"MWF (11:30am-12:20pm), MWF (10:30am-11:20am), MWF (9:30am-10:20am)","Fall, Spring. Grammar review; development of the four skills.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,fren1020,FREN 1020 or a satisfactory placement exam score.
FREN 2020,Opportune Zongo,"MWF (2:30pm-3:20pm), MWF (10:30am-11:20am), TuTh (9:30am-10:45am)","Fall, Spring. A communicative approach to intermediate language using the four skill areas of listening, speaking, reading, and writing, along with French and Francophone culture.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,fren2010,FREN 2010 or satisfactory placement exam score.
FREN 2220,Daniel Dinca,"TuTh (4:00pm-5:15pm), TuTh (2:30pm-3:45pm), TuTh (11:30am-12:45pm)","Fall, Spring, Summer. An introduction to the cultural, social, intellectual, and artistic life of French- speaking peoples from the perspective of French- American relations and intercultural comparisons and using readings, film, music, and other media. Readings and class in English. Does not fulfill the Arts & Sciences Foreign Language requirement.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
GERM 2010,Ariana Segarra,"MWF (10:30am-11:20am), MWF (11:30am-12:20pm), MW (4:30pm-5:45pm)",Grammar review; development of the four skills.,3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,germ1020,GERM 1020 or a satisfactory exam placement score.
GERM 2020,Kristie Foell,"MWF (11:30am-12:20pm), MWF (12:30pm-1:20pm), MWF (1:30pm-2:20pm)",GERM 2010 continued.,3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,germ2010,GERM 2010 or a satisfactory exam placement score.
GERM 2150,Edgar Landgraf,"TuTh (1:00pm-2:15pm), TuTh (11:30am-12:45pm), MWF (2:30pm-3:20pm)","Cultural-historical treatment of the social, intellectual and artistic life of the German-speaking peoples from medieval times to World War II. Lectures, audio-visual presentations and readings in English.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,se4550,
GERM 2160,Kristie Foell,"MWF (2:30pm-3:20pm), MWF (1:30pm-2:20pm), MW (4:30pm-5:45pm)","Lecture-reading course in English. Division of Germany after World War II; rebuilding and development of the two German states since 1949; political, economic and social systems, inter-German relations, patterns of daily living; revolution in East Germany and process of unification.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,since1949|germ2160|se4550,
HNRS 2020,Sara Ghaffari,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring. Interdisciplinary seminar on some of the influential ideas of human culture. The second of two courses required of all Honors students in their first year. Emphasis on reading of primary texts and the application of critical thinking to the evaluation of these ideas. In addition, the integration and synthesis of relationships between ideas will be stressed and organized around different ontological assumptions.",3,Spring 2025|Spring 2024|Spring 2023|Spring 2022|Spring 2021,hnrs2010,HNRS 2010 and admission to BGSU's Honors College.
HNRS 2600,Michelle Sprouse,MWF(50 minutes),"Interdisciplinary seminar that explores contemporary issues of human values in public service fields such as education, health, and social work. Emphasizes analysis, discussion, and evaluation of issues and potential solutions via art, language, and media. Introduces students to creative research methods to prepare for a future Honors project. Fulfills the critical thinking applications requirement for 1st year Honors students.",3,,hnrs2010,HNRS 2010 and admission to BGSU's Honors College
ITAL 2620,Carlo Celli,TBA,Fall or Spring. Identifies and explore cross-cultural and transnational stereotypes of the phenomenon of the Italian Mafia in America and Italy. In English.,3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,se4550,
MUCT 1010,Eftychia Papanikolaou,"Th (11:30am-12:45pm), Tu (11:30am-12:45pm), Th (1:00pm-2:15pm)","Fall, Spring, Summer. Explores different categories of music (classical, world, popular) and various genres in their social contexts. Topics include, but are not limited to: music and ethnicity, music and gender, music and spirituality, music and love. Directed listening focuses on how musical sounds create meaning in different historical periods and cultures.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
MUCT 1250,Christopher Witulski,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer. Musical systems of major non-Western art musics: Africa, Near East, Pacific and Asia. Theoretical, analytical and cultural concepts related to music.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
MUCT 2220,Per Broman,"TuTh (1:00pm-2:15pm), TuTh (2:30pm-3:45pm), TuTh (11:30am-12:45pm)","Spring. Explores the convergence of politics, history, religion, and the arts during four significant turning points in world history. Applicable to the BG Perspective (general education) humanities and the arts requirement.",3,Spring 2025|Spring 2024|Spring 2023|Spring 2022|Spring 2021,,
MUCT 2610,Katherine Meizel,MWF (10:30am-11:20am),"Fall, Summer (online). Study of the history, social setting and style of Western art music in the Medieval, Renaissance and Baroque periods (ca. 800-1750).",3,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,,
PHIL 1010,James Schultz,"(Class Length) 50 minutes, 1 hour 15 minutes","Fall, Spring, Summer. What makes you, you? Why do bad things happen to good people? Can you really trust what you see? Can we be certain that God exists? What makes us responsible for the things we do? What are the limits of what we can know? What makes life worth living? In this course, you will critically discuss and debate these kinds of questions that have puzzled us for thousands of years and enrich our understanding of ourselves and our place in the world.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PHIL 1020,Cole James,"(Class Length) 50 minutes, 1 hour 15 minutes","Fall, Spring, Summer. Where does morality come from? Is morality just a matter of opinion? What makes an action right or wrong? What does it mean to be a good person? Are there some things it's never okay to do? In this course, we will grapple with these and other central theoretical questions in ethics.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PHIL 1030,Sara Worley,"(Class Length) 50 minutes, 1 hour 15 minutes","Fall, Spring. Basic concepts of logic; how to distinguish arguments from non-arguments, premises from conclusions. Methods for evaluating arguments and how to recognize typical mistakes in reasoning.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PHIL 1250,Samuel Morkal-Williams,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer. We will explore real-world moral challenges that we currently face as individuals and as a society. Do you have a right to privacy on the internet? Should same-sex marriage be legal? Can terrorism ever be justified? Is it morally acceptable to modify your body to make you stronger, faster, or smarter? The primary focus of this course is to enrich our understanding of such questions by increasing our knowledge of both the relevant facts and the values at issue.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PHIL 2190,Theodore Bach,"TuTh, MW (no class time)","Fall, Spring, Summer. Everyone dies. But no one talks about it. This course breaks the silence by exploring questions like the following: What is death? How do we know when someone has died? Should we ever seek to die? How should societies approach suicide? Why do we fear death? Should we fear death? What can thinking about death tell us about how to live? Is there any evidence that we might be immortal? Would immortality actually be good for us, anyway? How should we deal with death? How is death dealt with cross-culturally?.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PHIL 2320,lan Young,"(Class Length) 1 hour 15 minutes, 50 minutes","Fall, Spring. Is global warming our problem? If so, what should we do about it? Are trees more important than jobs? What is so bad about genetically modified organisms? Is meat murder? Are tree-huggers terrorists? In this course, we will attempt to grapple with these sorts of questions by investigating the proper relationship between human beings and the environment, from a variety of distinct cultural perspectives.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PHIL 2420,lan Young,"F (50 minutes), MW (50 minutes)","Fall, Spring, Summer. From birth to death, medical and healthcare practices are an intimate part of our lives. This course explores central questions in these practices, such as: Is it ever okay to get an abortion? Should physicians ever assist patients in ending their lives? Is genetic manipulation ‘playing God’? Do we have a right to healthcare? Is it ever right to lie to a patient? Should we ever use the results of unethical research?",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
POPC 1600,Charles Coletta,"F (50 minutes), MWF (50 minutes)","Fall, Spring, Summer. Basic theories and approaches to the scholarly study of popular culture, including various media, folklore, and everyday life.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
POPC 1650,Tiffany Knoell,"(Class Length) 1 hour 15 minutes, 50 minutes","Fall, Spring, Summer. Some of the ways in which mass media (TV, film, recording industry, print, radio) have affected modern American culture. Media relationships and interactions.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
POPC 1700,Angela Nelson,TuTh (1 hour 15 minutes),"Fall, Spring, Summer. Basic theories of approaches to 20th century and 21st century African-American popular culture. Trace ways black popular culture has shaped and is shaped by national and global contexts. Examine relationship of race, ethnicity, gender, sexuality, and class. Provide an interdisciplinary approach to understanding the significance of black popular culture in contemporary U.S. and global societies.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
POPC 2200,Montana Miller,"TuTh (1 hour 15 minutes), MW (1 hour 15 minutes","Fall, Spring. Study and collecting of folklore; ballads, myths, tall tales, heroes, folk medicines, superstitions, proverbs and crafts.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
RUSN 2150,Timothy Pogacar,"TuTh (9:30am-10:45am), TuTh (1:00pm-2:20pm), TuTh (1:00pm-2:15pm)","Russian culture and its manifestations in arts, family and social life, folkways, religion, and other areas. Presentations, readings, and writing in English.",3,Fall 2025|Fall 2024|Fall 2023|Spring 2023|Fall 2022,,
RUSN 2160,Timothy Pogacar,"TuTh (1:00pm-2:15pm), TuTh (11:00am-12:15pm), TuTh (4:00pm-5:15pm)","Russian society and cultural values as reflected in such aspects of life as the arts, education, work, recreation, politics, family life, and religion. Cross- cultural approach. Presentations, readings, and writing in English. International perspectives course. Applicable to the BG Perspective (general education) international perspective requirement.",3,Spring 2025|Spring 2024|Spring 2023|Spring 2022|Spring 2021,rusn2160,
SPAN 2010,Pedro Porben,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring. Communicative approach to teach intermediate language use in the four skill areas: listening, speaking, reading, writing (emphasis on composition). Reading and discussion in Spanish of cultural readings.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,span1020,SPAN 1020 or a satisfactory placement exam score.
SPAN 2020,Lynn Pearson,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring. SPAN 2010 continued. Three classroom hours each week.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,span2010,SPAN 2010 or satisfactory placement exam score.
SPAN 2030,Cynthia Whipple,"MWF (2:30pm-3:20pm), MW (4:30pm-5:45pm), TuTh (2:30pm-3:45pm)","Fall, Spring. Alternative to SPAN 2020 or 2120 that includes specialized vocabulary and communicative practice for professional use; may focus on medical, legal, or business uses.",3,Spring 2024|Fall 2023|Spring 2023|Fall 2022,span2010,SPAN 2010 or a satisfactory exam placement score.
SPAN 2700,Daniel Dinca,"TuTh (1 hour 15 minutes), MW (1 hour 15 minutes)","Introduction to the cultural, social, intellectual, and artistic life of Latin America and/or Spain from a variety of disciplinary perspectives. Presentations, readings, and writing in English. Approved for distance education.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024,,
THEA 1410,Marcus Sherrell,"M (1 hour 15 minutes), W (1 hour 15 minutes)",Art of theatre; heritage and contemporary values as humanistic discipline; importance as social/cultural experience; opportunity for some involvement in theatrical activities. Laboratory hours required.,3,Fall 2025,,
THEA 2020,David Loehr,MWF (50 minutes),"Introduction to Performance Studies through critical engagement of textual, cultural, and rhetorical approaches. Emphasis is on vocal and physical performance skills applied to various communicative contexts.",3,Fall 2025,,
THFM 2150,Amy-Rose,"TuTh (9:30am-10:45am), TuTh (8:00am-9:15am), MWF (9:30am-10:20am)","Fall, Spring. Through performance and discussion of selected public and private texts written by American minority writers, this course explores what it means to be a part of a culturally diverse society.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024,,
WS 2000,Becky Jenkins,"(Class Length) 50 minutes, 1 hour 15 minutes","Fall, Spring, Summer. Interdisciplinary survey of the new scholarship on women. Emphasis on the interconnectedness of gender, class and ethnicity in women's experiences and viewpoints.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
AFRS 2000,Apollos Nwauwa,"TuTh (2:30pm-3:45pm), TuTh (11:30am-12:45pm), TuTh (1:00pm-2:15pm)","Fall, Spring, and Summer. Regular and online course introducing students to the interdisciplinary methodology, crosscultural perspectives, literary genres, and critical-analysis skills needed to study peoples of African descent. Focus is on the arts and humanities.",3,Fall 2025|Spring 2025|Spring 2024|Fall 2023|Spring 2023,,
ASIA 1800,Andrew Kunze,"TuTh (9:30am-10:45am), MW (4:30pm-5:45pm), TuTh (11:30am-12:45pm)","Fall, Spring. This is a core course for all Asian Studies majors and minors. Provides general knowledge of Asia relative to historical, cultural, social, economic, and political developments of selected countries in East, South, or Southeast Asia. Credit allowed for only one of ASIA 1800, HIST 1800.",3,Fall 2025|Spring 2025|Fall 2024|Fall 2023|Fall 2022,asia1800|hist1800,
ASIA 2000,Andrew Kunze,"TuTh (9:30am-10:45am), MW (4:30pm-5:45pm), TuTh (11:30am-12:45pm)","Fall or Spring. This course provides an introduction to Asian Religions. It looks at some of the sacred > texts, philosophies, and practices of religions either started in South, East, or Southeast Asia or practiced by large numbers of people there, including Christianity, Islam, Hinduism, Buddhism, Shintoism, Sikhism, Jainism, Taoism, and Confucianism. Students will leave the class with a sense of the diversity of ""Asia"" as well as an understanding that religions are not monolithic, but open to interpretation both by practitioners and by artists - musicians, dancers, painters, and writers.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
CAST 2010,Scott Piroth,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer on demand. Multidisciplinary review of Canadian development. Comparisons with the United States. Canada's history, geography, government and political system, population and social policy, economy and foreign trade, literature, art, and popular culture.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
CDIS 1230,Siva Santhanam,"MWF (50 minutes), MW (1 hour 15 minutes)","Normal speech and language development; description and etiology of various communication disorders including phonology, voice, stuttering, language and hearing.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ECON 2000,Christian Imboden,"(Class Length) 50 minutes, 1 hour 15 minutes","Alternative economic goals; economic growth, full employment, price stability, fair income distribution, economic security, economic freedom, consumer sovereignty, efficiency. Recommended for students taking only one ECON course. Does not count toward the total hours of economics required for BSBA, BS in economics, BA in economics, or minor in economics; cannot be used to satisfy specialization, non-business nor free elective requirements for BSBA degree. No credit for students who have credit for either ECON 2020 or ECON 2030.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,econ2020|econ2030,
ECON 2020,Jarus Quinn,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Price and allocation of resources. Demand, supply; price theory; income distribution; market failure; current problems and public policy. Enhances students’ ability to evaluate economic policy. Recommended before ECON 2030.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,econ2030,"high school algebra or equivalent. Approved for distance education. Note: Web-based versions of this course will be offered only during the Summer, and only to students who are not able to attend face-to-face versions of the course."
ECON 2030,Andrea Schneider,"MWF (50 minutes), TuTh (1 hour 15 minutes)","National income and employment, inflation, banking system, monetary and fiscal policy; economic growth and development; international economics. Develops students’ understanding of tradeoffs and enhances critical reasoning abilities.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,econ2020,"ECON 2020 or with consent of department. Approved for distance education. Note: Web-based versions of this course will be offered only during the Summer, and only to students who are not able to attend face-to-face versions of the course."
EDFI 2980,Christopher Frey,"(Class Length) 1 hour 15 minutes, 50 minutes","Critical interdisciplinary examination of schooling, society, and cultural diversity in the United States. Inquiry into the origins of contemporary ideas, issues, and problems through the disciplines of history and philosophy, and analysis grounded in the social sciences on the relationships between schooling, diversity, and institutional issues in a globalizing society.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
EIEC 2210,Trisha Prunty,"TuTh (1 hour 15 minutes), TuTh (1 hour 20 minutes)","Focus on theories, working in education settings with children and families from diverse cultural and linguistic backgrounds to support educational involvement and achievement. Includes field experience opportunities to observe and assist in inclusive early community based agencies or early childhood classrooms, preschool-grade 5.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,edtl2010,s: C or better in EDTL 2010 and a cumulative GPA of 2.5 or higher.
ENVS 1010,Anita Milas,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer. Overview of environmental principles and concepts. Students consider contemporary environmental issues as they relate to the quality of life. Topics of environmental concern are used to develop skills in evaluation, analysis, and values clarification. Extra fee.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
